"state","1940","1950","1960","1970","1980","1990","2000","2010","2020","2030","2040"
"New York",55,53,51,48,42,39,36,34,32,31,30
"Pensylvania",40,37,34,31,28,25,23,22,20,19,18
"Illinois",32,31,30,29,27,24,23,22,20,19,17
"Ohio",28,28,29,28,25,23,21,20,18,17,16
"California",28,38,47,53,56,65,65,65,67,67,68
"Texas",26,27,28,29,34,37,40,44,48,52,57
"Michigan",21,22,23,23,22,20,18,17,16,14,13
"Massachusetts",17,16,15,14,13,12,11,11,11,10,10
"New Jersey",16,17,18,18,17,16,15,15,14,13,13
"Missouri",15,13,12,12,11,10,10,10,9,9,8
"North Carolina",14,14,13,13,13,14,15,16,16,17,17
"Indiana",13,13,13,13,12,11,11,11,10,10,9
"Wisconsin",12,11,11,11,10,10,9,9,9,8,8
"Georgia",12,12,11,11,12,13,15,16,17,17,17
"Tenessee",11,11,10,10,10,10,10,10,10,10,10
"Kentucky",11,10,8,8,8,7,7,7,6,6,6
"Alabama",11,10,9,8,8,8,8,8,7,7,6
"Minesota",11,10,10,9,9,9,9,8,8,8,8
"Virginia",10,11,11,12,12,13,13,13,13,14,14
"Iowa",10,9,8,7,6,5,5,4,4,4,4
"Louisiana",9,9,9,9,9,8,8,7,7,7,7
"Oklahoma",9,7,6,6,6,6,6,6,6,6,6
"Mississippi",8,7,6,5,5,5,5,4,4,4,3
"Arkansas",7,6,5,4,5,4,4,4,4,4,4
"West Virginia",7,6,5,4,4,3,3,2,2,2,2
"South Carolina",7,7,6,6,7,7,7,7,8,8,8
"Florida",7,9,14,17,23,28,30,33,35,37,39
"Maryland",7,8,9,10,9,10,9,9,9,9,9
"Kansas",6,6,6,5,5,4,4,4,4,4,3
"Washington",6,8,8,8,9,10,11,11,12,12,13
"Conneticut",6,6,7,7,7,6,6,5,5,5,4
"Nebraska",4,4,3,3,3,3,2,2,2,2,2
"Colorado",4,4,4,5,6,6,7,8,9,9,10
"Oregon",4,5,4,5,5,5,6,6,6,6,6
"Maine",3,2,2,2,2,2,2,1,1,1,1
"Rhode Island",2,2,2,2,1,1,1,1,1,1,1
"South Dakota",2,1,1,1,1,1,1,1,1,1,1
"North Dakota",2,1,1,1,1,,,,,1,1
"Montana",1,1,1,1,1,1,1,1,1,1,1
"Utah",1,2,2,2,3,3,3,4,4,5,5
"New Mexico",1,2,2,2,2,2,3,3,3,2,2
"Idaho",1,1,1,1,1,1,2,2,2,2,2
"Arizona",1,2,3,4,6,7,9,10,11,11,12
"New Hampshire",1,1,1,1,1,2,1,1,1,1,1
"Vermont",1,,,,,,,,,,
"Hawaii",,,1,1,1,1,1,1,2,2,2
"Delaware",,,,1,1,1,1,1,1,1,1
"Nevada",,,,,1,2,3,4,4,4,5